timestamp,time_seconds,timestamp_ns,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz
2026-03-27T18:04:08.849903+00:00,0.837946,1774634648849903300,1.462444,0.545302,0.795184,0.449415,-0.745047,-0.435851,0.229263,-0.18358,-0.179474,0.346167,0.330168,0.351225,-0.572965,-0.663419,0.46017,0.327559,0.435691,0.586497,-0.118758,-0.76014,-0.251828
2026-03-27T18:04:08.866958+00:00,0.855001,1774634648866958400,1.462559,0.545309,0.795177,0.450306,-0.743896,-0.43553,0.228915,-0.184134,-0.178798,0.346578,0.33185,0.350837,-0.575564,-0.657946,0.460254,0.327534,0.435882,0.585854,-0.118651,-0.760813,-0.251876
2026-03-27T18:04:08.883682+00:00,0.871725,1774634648883682500,1.462689,0.545295,0.795161,0.450193,-0.745275,-0.436623,0.229103,-0.184729,-0.178127,0.346952,0.331954,0.352362,-0.580406,-0.655626,0.460309,0.327514,0.436076,0.58521,-0.118606,-0.761508,-0.251892
2026-03-27T18:04:08.900629+00:00,0.888671,1774634648900628500,1.462859,0.545312,0.79514,0.451349,-0.743732,-0.4358,0.228655,-0.18529,-0.177404,0.347413,0.332771,0.353683,-0.584962,-0.651271,0.460335,0.327482,0.43626,0.584895,-0.118571,-0.761732,-0.251966
2026-03-27T18:04:08.917644+00:00,0.905687,1774634648917644300,1.463096,0.545344,0.795074,0.451706,-0.743949,-0.435883,0.228494,-0.185981,-0.176645,0.347834,0.334036,0.354509,-0.587782,-0.645435,0.460441,0.32742,0.436447,0.584164,-0.118463,-0.761889,-0.252126
2026-03-27T18:04:08.934915+00:00,0.922957,1774634648934914700,1.463323,0.545337,0.79504,0.452072,-0.744207,-0.435713,0.22825,-0.186653,-0.175835,0.348366,0.334974,0.355589,-0.590942,-0.639437,0.460501,0.327329,0.436629,0.583351,-0.118436,-0.762737,-0.252543
2026-03-27T18:04:08.952856+00:00,0.940899,1774634648952856400,1.463618,0.545339,0.794973,0.452562,-0.744313,-0.435516,0.227831,-0.187372,-0.174981,0.348901,0.334686,0.358463,-0.596699,-0.636046,0.460621,0.327176,0.436796,0.583113,-0.118414,-0.762376,-0.252951
2026-03-27T18:04:08.970266+00:00,0.958309,1774634648970266100,1.463849,0.54534,0.794874,0.453047,-0.744363,-0.435368,0.227517,-0.188066,-0.174128,0.349543,0.334902,0.360758,-0.600507,-0.631377,0.460701,0.32702,0.436951,0.582209,-0.118462,-0.76335,-0.253697
2026-03-27T18:04:08.987149+00:00,0.975192,1774634648987149100,1.464061,0.5453,0.794733,0.453788,-0.743468,-0.435256,0.227233,-0.188799,-0.173289,0.350169,0.335988,0.362402,-0.603241,-0.62519,0.460847,0.326851,0.437112,0.581489,-0.118479,-0.763706,-0.254194
2026-03-27T18:04:09.004012+00:00,0.992055,1774634649004011900,1.464252,0.545245,0.794565,0.454163,-0.743403,-0.435606,0.22731,-0.189532,-0.172428,0.350879,0.336722,0.364759,-0.606936,-0.620431,0.460905,0.326697,0.437218,0.581122,-0.11861,-0.763959,-0.254745
2026-03-27T18:04:09.021034+00:00,1.009077,1774634649021034500,1.464434,0.545336,0.794356,0.454355,-0.743649,-0.435996,0.227718,-0.19032,-0.17155,0.351567,0.33755,0.366994,-0.610918,-0.616184,0.461094,0.326504,0.437322,0.580528,-0.118653,-0.764299,-0.255115
2026-03-27T18:04:09.038234+00:00,1.026277,1774634649038233900,1.464579,0.545323,0.794161,0.455292,-0.742226,-0.435807,0.227905,-0.191072,-0.170645,0.352376,0.338855,0.368731,-0.613916,-0.610465,0.46123,0.326342,0.437407,0.580372,-0.118701,-0.763845,-0.255213
2026-03-27T18:04:09.055427+00:00,1.04347,1774634649055427100,1.46476,0.545428,0.793926,0.455688,-0.741782,-0.435377,0.228064,-0.191804,-0.169756,0.35318,0.339858,0.370204,-0.617553,-0.605279,0.46133,0.326181,0.43745,0.580206,-0.118865,-0.764035,-0.255538
2026-03-27T18:04:09.072815+00:00,1.060858,1774634649072815200,1.464937,0.54541,0.793681,0.456163,-0.741141,-0.435213,0.228112,-0.192455,-0.168879,0.354125,0.340987,0.370965,-0.619912,-0.599895,0.461507,0.325988,0.43749,0.57931,-0.119072,-0.765048,-0.256219
